Left,Label
DB00460,1
DB01579,0
DB00460,1
DB01178,0
DB00460,1
DB06626,0
DB00460,1
DB01588,0
DB00460,1
DB06196,0
DB00460,1
DB00744,0
DB00460,1
DB00876,0
DB00460,1
DB09267,0
DB00460,1
DB01204,0
DB11315,2
DB11315,0
DB00424,2
DB00424,0
DB06148,2
DB01261,0
DB00517,2
DB00517,0
DB01090,2
DB01090,0
DB00462,2
DB00462,0
DB00732,2
DB00732,0
DB00810,2
DB00206,0
DB00332,2
DB00191,0
DB00805,2
DB00805,0
DB00670,2
DB13158,0
DB00496,2
DB00496,0
DB01409,2
DB01409,0
DB00182,2
DB00765,0
DB00967,2
DB00967,0
DB00219,2
DB00219,0
DB01037,2
DB04786,0
DB00670,2
DB00670,0
DB06148,2
DB01437,0
DB01339,2
DB00588,0
DB01090,2
DB01090,0
DB01168,2
DB01583,0
DB00387,2
DB01053,0
DB06148,2
DB08801,0
DB01036,2
DB01036,0
DB06148,2
DB09055,0
DB01090,2
DB01090,0
DB06148,2
DB00752,0
DB00572,2
DB00572,0
DB00940,2
DB00940,0
DB09300,2
DB09300,0
DB06148,2
DB06148,0
DB00732,2
DB00732,0
DB00670,2
DB00670,0
DB01591,2
DB01591,0
DB00747,2
DB00747,0
DB00517,2
DB00517,0
DB00182,2
DB00182,0
DB09244,2
DB09244,0
DB09076,2
DB09076,0
DB01591,2
DB01591,0
DB00780,2
DB00780,0
DB01199,2
DB01199,0
DB01037,2
DB01037,0
DB01591,2
DB09268,0
DB00332,2
DB00262,0
DB06148,2
DB06148,0
DB08897,2
DB08897,0
DB01199,2
DB01234,0
DB00387,2
DB00146,0
DB01367,2
DB01367,0
DB00732,2
DB00732,0
DB00332,2
DB00325,0
DB00614,2
DB00614,0
DB00908,2
DB00908,0
DB00483,2
DB00483,0
DB06148,2
DB06148,0
DB00517,2
DB00991,0
DB00908,2
DB00908,0
DB06148,2
DB06148,0
DB00462,2
DB00462,0
DB09244,2
DB09244,0
DB11315,2
DB05316,0
DB00424,2
DB00166,0
DB06148,2
DB06148,0
DB00782,2
DB00834,0
DB00376,2
DB00376,0
DB06148,2
DB06825,0
DB09244,2
DB09244,0
DB00752,2
DB00752,0
DB06148,2
DB06148,0
DB00572,2
DB00343,0
DB01062,2
DB00518,0
DB00219,2
DB00219,0
DB00986,2
DB00986,0
DB00614,2
DB00273,0
DB01036,2
DB00163,0
DB09241,2
DB01160,0
DB01036,2
DB01036,0
DB00805,2
DB00805,0
DB00332,2
DB00318,0
DB00376,2
DB00376,0
DB00908,2
DB00908,0
DB00915,2
DB11994,0
DB00387,2
DB00387,0
DB01168,2
DB01168,0
DB00967,2
DB00967,0
DB01338,2
DB00819,0
DB01339,2
DB01339,0
DB00657,2
DB00657,0
DB06148,2
DB04865,0
DB00392,2
DB00392,0
DB01338,2
DB01338,0
DB00782,2
DB00782,0
DB06148,2
DB09053,0
DB00572,2
DB00292,0
DB00809,2
DB00809,0
DB01090,2
DB01090,0
DB00805,2
DB04571,0
DB09245,2
DB09245,0
DB00752,2
DB09295,0
DB00908,2
DB00750,0
DB06148,2
DB09014,0
DB09300,2
DB09300,0
DB00424,2
DB08819,0
DB11315,2
DB11315,0
DB00986,2
DB00986,0
DB06148,2
DB06148,0
DB00219,2
DB01192,0
DB01168,2
DB01168,0
DB01338,2
DB00185,0
DB00332,2
DB00332,0
DB01339,2
DB01339,0
DB00747,2
DB00747,0
DB00182,2
DB00182,0
DB01173,2
DB01173,0
DB00752,2
DB00228,0
DB06148,2
DB00880,0
DB00614,2
DB06802,0
DB00670,2
DB00670,0
DB00219,2
DB06213,0
DB00967,2
DB00967,0
DB06148,2
DB06148,0
DB06148,2
DB06148,0
DB01036,2
DB01009,0
DB01337,2
DB01337,0
DB00940,2
DB00940,0
DB00424,2
DB06795,0
DB00782,2
DB00782,0
DB00392,2
DB00392,0
DB00462,2
DB00462,0
DB00219,2
DB01186,0
DB06148,2
DB06730,0
DB01199,2
DB01199,0
DB00340,2
DB00340,0
DB01168,2
DB01168,0
DB01199,2
DB01199,0
DB00376,2
DB01427,0
DB01409,2
DB01370,0
DB00670,2
DB01221,0
DB00657,2
DB00264,0
DB00462,2
DB00462,0
DB00979,2
DB00903,0
DB06148,2
DB06148,0
DB00810,2
DB11256,0
DB00496,2
DB00496,0
DB00732,2
DB09297,0
DB00809,2
DB00809,0
DB00657,2
DB00749,0
DB01626,2
DB01626,0
DB01367,2
DB00924,0
DB06148,2
DB06810,0
DB06148,2
DB06148,0
DB01173,2
DB01173,0
DB06148,2
DB00444,0
